village,asv_ID,host_ID,host_species,grid,season,reads,total_reads
Andatsakala,ASV_1007,3612,Rattus rattus,agroforest,1,0.027659574468085105,1410
Andatsakala,ASV_1007,3646,Rattus rattus,village,1,0.06114551083591331,1292
Andatsakala,ASV_1007,3800,Rattus rattus,village,2,0.03896103896103897,1232
Andatsakala,ASV_1007,3802,Rattus rattus,village,2,0.1792452830188679,318
Andatsakala,ASV_1016,3581,Rattus rattus,semi-intact_forest,1,0.05154639175257732,485
Andatsakala,ASV_1016,3741,Rattus rattus,agroforest,2,0.10569105691056911,369
Andatsakala,ASV_1016,3797,Rattus rattus,village,2,0.04825090470446321,829
Andatsakala,ASV_1037,3792,Rattus rattus,village,2,0.12959381044487428,1034
Andatsakala,ASV_1037,3840,Rattus rattus,brushy_regrowth,3,0.026455026455026454,567
Andatsakala,ASV_1037,3905,Rattus rattus,secondary_forest,3,0.19337016574585636,362
Andatsakala,ASV_1037,4013,Rattus rattus,village,3,0.14505494505494507,455
Andatsakala,ASV_1046,3581,Rattus rattus,semi-intact_forest,1,0.15670103092783505,485
Andatsakala,ASV_1046,3621,Rattus rattus,agroforest,1,0.03726937269372694,2710
Andatsakala,ASV_1046,3767,Rattus rattus,agroforest,2,0.05,640
Andatsakala,ASV_1046,3929,Rattus rattus,secondary_forest,3,0.08450704225352113,284
Andatsakala,ASV_1084,3577,Rattus rattus,semi-intact_forest,1,0.47668393782383417,386
Andatsakala,ASV_1084,3650,Rattus rattus,village,1,0.21367521367521367,1404
Andatsakala,ASV_1084,3713,Rattus rattus,secondary_forest,2,0.10493355735451351,6547
Andatsakala,ASV_1084,3996,Rattus rattus,agroforest,3,0.8072763028515241,1017
Andatsakala,ASV_1091,3527,Rattus rattus,brushy_regrowth,1,0.21040076335877864,2096
Andatsakala,ASV_1091,3646,Rattus rattus,village,1,0.07120743034055728,1292
Andatsakala,ASV_1091,3811,Rattus rattus,flooded_rice,2,0.13796133567662566,1138
Andatsakala,ASV_1091,3841,Rattus rattus,brushy_regrowth,3,0.10288808664259928,554
Andatsakala,ASV_1115,3548,Rattus rattus,secondary_forest,1,0.0728643216080402,1592
Andatsakala,ASV_1115,3630,Rattus rattus,village,1,0.23751891074130102,661
Andatsakala,ASV_1115,3728,Rattus rattus,semi-intact_forest,2,0.14487632508833923,1132
Andatsakala,ASV_1115,3899,Rattus rattus,secondary_forest,3,0.4192355117139334,811
Andatsakala,ASV_1147,3689,Rattus rattus,agriculture,2,0.4273972602739726,365
Andatsakala,ASV_1147,3864,Rattus rattus,agriculture,3,0.06616862326574173,937
Andatsakala,ASV_1147,3868,Rattus rattus,agriculture,3,0.2459016393442623,732
Andatsakala,ASV_1150,3638,Rattus rattus,village,1,0.11266924564796907,2068
Andatsakala,ASV_1150,3639,Rattus rattus,village,1,0.19127988748241911,711
Andatsakala,ASV_1150,3945,Rattus rattus,flooded_rice,3,0.10054559625876851,1283
Andatsakala,ASV_1150,3978,Rattus rattus,flooded_rice,3,0.3240043057050592,1858
Andatsakala,ASV_1154,3613,Rattus rattus,agroforest,1,0.03488372093023256,1720
Andatsakala,ASV_1154,3749,Rattus rattus,agroforest,2,0.4125214408233276,1166
Andatsakala,ASV_1154,4006,Rattus rattus,agroforest,3,0.03876739562624255,1006
Andatsakala,ASV_1181,3638,Rattus rattus,village,1,0.025628626692456476,2068
Andatsakala,ASV_1181,3646,Rattus rattus,village,1,0.029411764705882353,1292
Andatsakala,ASV_1181,3960,Rattus rattus,village,3,0.07540394973070018,557
Andatsakala,ASV_1195,3620,Rattus rattus,agroforest,1,0.033169533169533166,814
Andatsakala,ASV_1195,3868,Rattus rattus,agriculture,3,0.09016393442622951,732
Andatsakala,ASV_1195,3978,Rattus rattus,flooded_rice,3,0.02045209903121636,1858
Andatsakala,ASV_1199,3735,Rattus rattus,semi-intact_forest,2,0.08392857142857142,1120
Andatsakala,ASV_1199,3893,Rattus rattus,secondary_forest,3,0.08130081300813008,615
Andatsakala,ASV_1199,3974,Rattus rattus,village,3,0.07648953301127215,1242
Andatsakala,ASV_1199,3988,Rattus rattus,village,3,0.08718626155878467,757
Andatsakala,ASV_1202,3543,Rattus rattus,agriculture,1,0.047619047619047616,756
Andatsakala,ASV_1202,3613,Rattus rattus,agroforest,1,0.020930232558139535,1720
Andatsakala,ASV_1202,3623,Rattus rattus,agroforest,1,0.2375,320
Andatsakala,ASV_1204,3643,Rattus rattus,village,1,0.10542168674698796,1992
Andatsakala,ASV_1204,4025,Rattus rattus,village,3,0.008523695874531197,5866
Andatsakala,ASV_1204,4026,Rattus rattus,village,3,0.4640394088669951,3045
Andatsakala,ASV_1215,3593,Rattus rattus,agroforest,1,0.06506024096385542,415
Andatsakala,ASV_1215,3613,Rattus rattus,agroforest,1,0.04941860465116279,1720
Andatsakala,ASV_1215,3636,Rattus rattus,village,1,0.08816705336426914,431
Andatsakala,ASV_1215,3742,Rattus rattus,agroforest,2,0.13787638668779714,1262
Andatsakala,ASV_123,3639,Rattus rattus,village,1,0.3670886075949367,711
Andatsakala,ASV_123,3781,Rattus rattus,flooded_rice,2,0.11190817790530846,697
Andatsakala,ASV_123,3812,Rattus rattus,flooded_rice,2,0.7107180020811654,961
Andatsakala,ASV_123,3850,Rattus rattus,brushy_regrowth,3,0.21560196560196557,1628
Andatsakala,ASV_1234,3649,Rattus rattus,village,1,0.15766164747564215,1129
Andatsakala,ASV_1234,3669,Rattus rattus,brushy_regrowth,2,0.15960912052117263,614
Andatsakala,ASV_1234,3761,Rattus rattus,agroforest,2,0.17767295597484276,636
Andatsakala,ASV_1234,4025,Rattus rattus,village,3,0.011421752471871804,5866
Andatsakala,ASV_1237,3735,Rattus rattus,semi-intact_forest,2,0.20357142857142857,1120
Andatsakala,ASV_1237,3778,Rattus rattus,flooded_rice,2,0.03926096997690531,1732
Andatsakala,ASV_1237,3952,Rattus rattus,village,3,0.10313075506445672,543
Andatsakala,ASV_1243,3669,Rattus rattus,brushy_regrowth,2,0.21986970684039087,614
Andatsakala,ASV_1243,3874,Rattus rattus,agriculture,3,0.13055555555555556,360
Andatsakala,ASV_1243,3937,Rattus rattus,semi-intact_forest,3,0.1111111111111111,387
Andatsakala,ASV_1252,3643,Rattus rattus,village,1,0.5311244979919679,1992
Andatsakala,ASV_1252,3726,Rattus rattus,secondary_forest,2,0.11202635914332784,607
Andatsakala,ASV_1252,4025,Rattus rattus,village,3,0.39942038868053187,5866
