village,asv_ID,host_ID,host_species,grid,season,reads,total_reads
Andatsakala,ASV_1,3500,Rattus rattus,brushy_regrowth,1,0.04823151125401929,21459
Andatsakala,ASV_1,3501,Rattus rattus,brushy_regrowth,1,0.007786345683656197,26585
Andatsakala,ASV_1,3502,Rattus rattus,brushy_regrowth,1,0.4839101008811135,46986
Andatsakala,ASV_1,3503,Rattus rattus,brushy_regrowth,1,0.2012393414078304,39053
Andatsakala,ASV_1,3516,Rattus rattus,brushy_regrowth,1,0.13287095418242958,23790
Andatsakala,ASV_1,3520,Rattus rattus,brushy_regrowth,1,0.013887057789496816,22755
Andatsakala,ASV_1,3527,Rattus rattus,brushy_regrowth,1,0.06887424677591936,17757
Andatsakala,ASV_1,3534,Rattus rattus,agriculture,1,0.3462265850144092,22208
Andatsakala,ASV_1,3535,Rattus rattus,agriculture,1,0.49868727815000735,47611
Andatsakala,ASV_1,3548,Rattus rattus,secondary_forest,1,0.3940631278760775,15429
Andatsakala,ASV_1,3553,Rattus rattus,secondary_forest,1,0.28679197438904563,31549
Andatsakala,ASV_1,3557,Rattus rattus,secondary_forest,1,0.06967545155602155,20983
Andatsakala,ASV_1,3558,Rattus rattus,secondary_forest,1,0.04356399038757779,16229
Andatsakala,ASV_1,3559,Rattus rattus,secondary_forest,1,0.1661672568782348,29368
Andatsakala,ASV_1,3563,Rattus rattus,secondary_forest,1,0.027606047621962417,16337
Andatsakala,ASV_1,3564,Rattus rattus,secondary_forest,1,0.32219415097228604,26124
Andatsakala,ASV_1,3568,Rattus rattus,secondary_forest,1,0.0660804689581668,15012
Andatsakala,ASV_1,3569,Rattus rattus,secondary_forest,1,0.048985551024517945,19863
Andatsakala,ASV_1,3574,Rattus rattus,semi-intact_forest,1,0.015439768607161772,24547
Andatsakala,ASV_1,3577,Rattus rattus,semi-intact_forest,1,0.02561745418888276,16317
Andatsakala,ASV_1,3578,Rattus rattus,semi-intact_forest,1,0.04913279561389636,18969
Andatsakala,ASV_1,3581,Rattus rattus,semi-intact_forest,1,0.15169106511862696,11886
Andatsakala,ASV_1,3591,Rattus rattus,agroforest,1,0.15889149777558081,32368
Andatsakala,ASV_1,3592,Rattus rattus,agroforest,1,0.14014308426073133,25160
Andatsakala,ASV_1,3598,Rattus rattus,agroforest,1,0.058661505248269186,13433
Andatsakala,ASV_1,3600,Rattus rattus,agroforest,1,0.17048475371383895,25580
Andatsakala,ASV_1,3611,Rattus rattus,agroforest,1,0.7756972712196593,33165
Andatsakala,ASV_1,3613,Rattus rattus,agroforest,1,0.09264891675635206,21371
Andatsakala,ASV_1,3621,Rattus rattus,agroforest,1,0.504907306434024,24759
Andatsakala,ASV_1,3622,Rattus rattus,agroforest,1,0.010862186014935505,19149
Andatsakala,ASV_1,3623,Rattus rattus,agroforest,1,0.026158357771261,34100
Andatsakala,ASV_1,3630,Rattus rattus,village,1,0.11202550415183865,13488
Andatsakala,ASV_1,3634,Rattus rattus,village,1,0.03359991952115085,19881
Andatsakala,ASV_1,3635,Rattus rattus,village,1,0.008101631737096346,26291
Andatsakala,ASV_1,3636,Rattus rattus,village,1,0.03692147685907436,19230
Andatsakala,ASV_1,3637,Rattus rattus,village,1,0.016502096577843905,22179
Andatsakala,ASV_1,3639,Rattus rattus,village,1,0.26778879300097475,42063
Andatsakala,ASV_1,3641,Rattus rattus,village,1,0.011694737368184317,20009
Andatsakala,ASV_1,3642,Rattus rattus,village,1,0.05285493827160494,20736
Andatsakala,ASV_1,3643,Rattus rattus,village,1,0.06629213483146068,11570
Andatsakala,ASV_1,3644,Rattus rattus,village,1,0.032269983988175883,24357
Andatsakala,ASV_1,3646,Rattus rattus,village,1,0.33898195039605244,15402
Andatsakala,ASV_1,3649,Rattus rattus,village,1,0.06369021257750221,36128
Andatsakala,ASV_1,3654,Rattus rattus,village,1,0.19894701467458273,17854
Andatsakala,ASV_1,3655,Rattus rattus,village,1,0.9380336858597729,25530
Andatsakala,ASV_1,3658,Rattus rattus,village,1,0.020943796394485684,18860
Andatsakala,ASV_1,3659,Rattus rattus,village,1,0.2047178461281987,11997
Andatsakala,ASV_1,3660,Rattus rattus,village,1,0.12613224637681159,13248
Andatsakala,ASV_1,3661,Rattus rattus,brushy_regrowth,2,0.013030101948482836,16577
Andatsakala,ASV_1,3673,Rattus rattus,brushy_regrowth,2,0.012246621621621621,11840
Andatsakala,ASV_1,3679,Rattus rattus,brushy_regrowth,2,0.01362978755805985,13133
Andatsakala,ASV_1,3680,Rattus rattus,brushy_regrowth,2,0.05644798078366611,13322
Andatsakala,ASV_1,3699,Rattus rattus,agriculture,2,0.016208985758124163,25418
Andatsakala,ASV_1,3708,Rattus rattus,agriculture,2,0.021994528190547716,18641
Andatsakala,ASV_1,3714,Rattus rattus,secondary_forest,2,0.07021166752710377,11622
Andatsakala,ASV_1,3735,Rattus rattus,semi-intact_forest,2,0.05543822597676874,9470
Andatsakala,ASV_1,3741,Rattus rattus,agroforest,2,0.029389395914819642,18408
Andatsakala,ASV_1,3761,Rattus rattus,agroforest,2,0.015339111294538452,14538
Andatsakala,ASV_1,3767,Rattus rattus,agroforest,2,0.014288830715532287,9168
Andatsakala,ASV_1,3773,Rattus rattus,agroforest,2,0.014907295257616696,10733
Andatsakala,ASV_1,3779,Rattus rattus,flooded_rice,2,0.07542601732004842,21478
Andatsakala,ASV_1,3781,Rattus rattus,flooded_rice,2,0.26857977489475043,11639
Andatsakala,ASV_1,3782,Rattus rattus,flooded_rice,2,0.06520492977930639,13956
Andatsakala,ASV_1,3789,Rattus rattus,village,2,0.05260774398067779,13249
Andatsakala,ASV_1,3790,Rattus rattus,village,2,0.5244310264746865,21530
Andatsakala,ASV_1,3791,Rattus rattus,village,2,0.021896772358879567,14066
Andatsakala,ASV_1,3798,Rattus rattus,village,2,0.009914529914529915,29250
Andatsakala,ASV_1,3802,Rattus rattus,village,2,0.0157146889997177,10627
Andatsakala,ASV_1,3807,Rattus rattus,flooded_rice,2,0.2534141414141414,12375
Andatsakala,ASV_1,3811,Rattus rattus,flooded_rice,2,0.07651042915368017,33368
Andatsakala,ASV_1,3817,Rattus rattus,village,2,0.6261211568900186,20849
Andatsakala,ASV_1,3820,Rattus rattus,village,2,0.580770124738514,12907
Andatsakala,ASV_1,3822,Rattus rattus,flooded_rice,2,0.9068109549697405,19498
Andatsakala,ASV_1,3825,Rattus rattus,flooded_rice,2,0.011294851794071763,16025
Andatsakala,ASV_1,3830,Rattus rattus,brushy_regrowth,3,0.012975146198830409,10944
Andatsakala,ASV_1,3831,Rattus rattus,brushy_regrowth,3,0.032057794333446216,8859
Andatsakala,ASV_1,3834,Rattus rattus,brushy_regrowth,3,0.03897490656700481,11238
Andatsakala,ASV_1,3838,Rattus rattus,brushy_regrowth,3,0.03437117998130438,13907
Andatsakala,ASV_1,3839,Rattus rattus,brushy_regrowth,3,0.43535497981157467,23776
Andatsakala,ASV_1,3844,Rattus rattus,brushy_regrowth,3,0.11263253236720124,18769
Andatsakala,ASV_1,3851,Rattus rattus,brushy_regrowth,3,0.12352722311794617,16126
Andatsakala,ASV_1,3864,Rattus rattus,agriculture,3,0.04592322033253434,26283
Andatsakala,ASV_1,3872,Rattus rattus,agriculture,3,0.02277676950998185,11020
Andatsakala,ASV_1,3873,Rattus rattus,agriculture,3,0.1988219668533811,17317
Andatsakala,ASV_1,3874,Rattus rattus,agriculture,3,0.07719358435543357,11659
Andatsakala,ASV_1,3875,Rattus rattus,agriculture,3,0.008641548565502939,11572
Andatsakala,ASV_1,3876,Rattus rattus,agriculture,3,0.34594212016357345,25432
Andatsakala,ASV_1,3877,Rattus rattus,agriculture,3,0.0966649488331002,13583
Andatsakala,ASV_1,3878,Rattus rattus,agriculture,3,0.07767958003854077,15049
Andatsakala,ASV_1,3885,Rattus rattus,agriculture,3,0.0475867269984917,13260
Andatsakala,ASV_1,3886,Rattus rattus,agriculture,3,0.018731161188459883,13934
Andatsakala,ASV_1,3887,Rattus rattus,agriculture,3,0.0269300991131977,15336
Andatsakala,ASV_1,3888,Rattus rattus,agriculture,3,0.06898539584934665,10408
Andatsakala,ASV_1,3889,Rattus rattus,agriculture,3,0.08024224072672217,13210
Andatsakala,ASV_1,3894,Rattus rattus,secondary_forest,3,0.02661409561360276,12174
Andatsakala,ASV_1,3895,Rattus rattus,secondary_forest,3,0.1048277204594121,10274
Andatsakala,ASV_1,3897,Rattus rattus,secondary_forest,3,0.020023425734842993,17929
Andatsakala,ASV_1,3898,Rattus rattus,secondary_forest,3,0.2551310132230064,24654
Andatsakala,ASV_1,3899,Rattus rattus,secondary_forest,3,0.019403667394727486,19687
Andatsakala,ASV_1,3904,Rattus rattus,secondary_forest,3,0.02102645263395885,13269
Andatsakala,ASV_1,3906,Rattus rattus,secondary_forest,3,0.15211601065403965,6758
Andatsakala,ASV_1,3907,Rattus rattus,secondary_forest,3,0.030874064103642636,11887
Andatsakala,ASV_1,3908,Rattus rattus,secondary_forest,3,0.395516717325228,21056
Andatsakala,ASV_1,3909,Rattus rattus,secondary_forest,3,0.6329002674818495,26170
Andatsakala,ASV_1,3910,Rattus rattus,secondary_forest,3,0.01434748427672956,15264
Andatsakala,ASV_1,3911,Rattus rattus,secondary_forest,3,0.018634826420042792,14489
Andatsakala,ASV_1,3912,Rattus rattus,secondary_forest,3,0.009280069600522004,13793
Andatsakala,ASV_1,3914,Rattus rattus,secondary_forest,3,0.16948762233736328,8685
Andatsakala,ASV_1,3915,Rattus rattus,secondary_forest,3,0.02969195466240178,14381
Andatsakala,ASV_1,3916,Rattus rattus,secondary_forest,3,0.06294448572338393,18842
Andatsakala,ASV_1,3917,Rattus rattus,secondary_forest,3,0.010804174340085942,16290
Andatsakala,ASV_1,3918,Rattus rattus,secondary_forest,3,0.17291705154258266,16239
Andatsakala,ASV_1,3919,Rattus rattus,secondary_forest,3,0.10536692223439212,18260
Andatsakala,ASV_1,3928,Rattus rattus,secondary_forest,3,0.01895991332611051,14768
Andatsakala,ASV_1,3929,Rattus rattus,secondary_forest,3,0.009133858267716535,9525
Andatsakala,ASV_1,3937,Rattus rattus,semi-intact_forest,3,0.10219387755102041,19600
Andatsakala,ASV_1,3945,Rattus rattus,flooded_rice,3,0.26525047279764263,22737
Andatsakala,ASV_1,3948,Rattus rattus,flooded_rice,3,0.09889250030095101,16614
Andatsakala,ASV_1,3959,Rattus rattus,village,3,0.010635924135366306,13445
Andatsakala,ASV_1,3960,Rattus rattus,village,3,0.05912914398812469,8084
