grid_village,village,grid,veg_PC1,veg_PC2,sm_PC1,sm_PC2,dist_to_village,elevation
Andatsakala_agriculture,Andatsakala,agriculture,-0.2303558622308082,-0.28236421337287765,-6.005278540613056,4.008401893800776,1007.3074722541146,372.16791031249994
Mandena_agriculture,Mandena,agriculture,1.6723292879360376,-0.3077822124410536,-9.375000512945618,1.2002173984732984,1800.9397563453927,131.04030064242409
Sarahandrano_agriculture,Sarahandrano,agriculture,1.9054362169691783,0.6237706434428869,-6.2971893009406275,-4.902123952358533,1014.5434010073983,601.0414201183432
Andatsakala_agroforest,Andatsakala,agroforest,1.4012452528700357,-0.22674288327278613,-7.873173802214874,0.999100765227553,617.490228755536,265.3495496509433
Mandena_agroforest,Mandena,agroforest,1.6248654320036626,0.37110546595184246,-8.183140771878008,-0.39521804693689866,600.5734877873211,95.02052063571422
Sarahandrano_agroforest,Sarahandrano,agroforest,0.8955035881679161,0.031168587027956357,-5.1279068529442515,-2.564773961848286,2016.7553990751126,737.7677419354839
Andatsakala_brushy_regrowth,Andatsakala,brushy_regrowth,2.76626110411343,-0.06290128480426062,-7.08622974702859,0.46114904172611815,1249.8732925327565,388.26558063953473
Mandena_brushy_regrowth,Mandena,brushy_regrowth,-0.16492523752158617,-2.0815582340641665,-7.077710718676878,3.592326865113809,2419.3572721844594,148.35447619999962
Sarahandrano_brushy_regrowth,Sarahandrano,brushy_regrowth,2.1148126242944345,-0.4418642771259419,-7.353188548384754,-5.471799411811737,734.1123483952401,593.2630573248407
Andatsakala_flooded_rice,Andatsakala,flooded_rice,2.0418938840810514,1.1698800047499311,-4.973983012620353,-3.538587008031741,513.0988117800784,105.5139607187498
Mandena_flooded_rice,Mandena,flooded_rice,1.757553481177905,0.36672046965378596,-8.638629508572855,2.0698493570389624,1352.5523758900704,118.13919873376615
Sarahandrano_flooded_rice,Sarahandrano,flooded_rice,1.1099216491864947,2.0664573596581004,-6.530681964334854,-4.940295871208201,496.04434829249084,481.44268292682926
Andatsakala_secondary_forest,Andatsakala,secondary_forest,-1.6688714784117344,-1.2655068999730652,-4.888099748508262,3.073151129057978,1614.1010056368057,534.1778385365849
Mandena_secondary_forest,Mandena,secondary_forest,-1.9788079422407938,-0.00494569583422271,-4.112227246170273,5.041962128261371,2887.094278719948,201.99339297468325
Sarahandrano_secondary_forest,Sarahandrano,secondary_forest,-0.9194205654538452,-2.0904036736765916,-4.4820098723149275,3.638524576628763,2215.424100767562,783.8064814814815
Andatsakala_semi-intact_forest,Andatsakala,semi-intact_forest,-4.664927588675429,1.5435553870122867,-1.9590551627648518,2.8631073515157093,2162.6725560996183,476.2391635588234
Mandena_semi-intact_forest,Mandena,semi-intact_forest,-3.91475184626949,1.4401523744171736,-2.920683361917774,4.2054167331386925,3650.7304982021624,275.5556149999997
Sarahandrano_semi-intact_forest,Sarahandrano,semi-intact_forest,-3.7477619999964573,-0.8487409173489999,-0.42682945011988416,0.666655297348987,2946.1380119027003,812.3260869565217
Andatsakala_village,NA,NA,NA,NA,-2.8259075615560043,-2.2942348667536807,0,135.7547745744681
Mandena_village,NA,NA,NA,NA,-2.6985502662555962,-2.266142031261581,0,93.65893895238095
Sarahandrano_village,NA,NA,NA,NA,-3.557231316517201,-2.825097221909418,0,551.3482758620689
