	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
new_taxa..1...1..1.7.	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	NA	ASV_1
new_taxa..1...i..1.7.	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	ASV_2
new_taxa..1...i..1.7..1	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Cellulosilyticum	NA	ASV_3
new_taxa..1...i..1.7..2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA	NA	ASV_4
new_taxa..1...i..1.7..3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	NA	ASV_5
new_taxa..1...i..1.7..4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	ASV_6
new_taxa..1...i..1.7..5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	coli	ASV_7
new_taxa..1...i..1.7..6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	ASV_8
new_taxa..1...i..1.7..7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	ASV_9
new_taxa..1...i..1.7..8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	garvieae	ASV_10
new_taxa..1...i..1.7..9	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	ASV_11
new_taxa..1...i..1.7..10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	lactis	ASV_12
new_taxa..1...i..1.7..11	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA	ASV_13
new_taxa..1...i..1.7..12	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	NA	ASV_14
new_taxa..1...i..1.7..13	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	ASV_15
new_taxa..1...i..1.7..14	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	NA	ASV_16
new_taxa..1...i..1.7..15	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	NA	ASV_17
new_taxa..1...i..1.7..16	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	NA	ASV_18
new_taxa..1...i..1.7..17	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	ilealis	ASV_19
new_taxa..1...i..1.7..18	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	ASV_20
new_taxa..1...i..1.7..19	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	salmonicida	ASV_21
new_taxa..1...i..1.7..20	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	ASV_22
new_taxa..1...i..1.7..21	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	NA	ASV_23
new_taxa..1...i..1.7..22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	ASV_24
new_taxa..1...i..1.7..23	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	enterica	ASV_25
new_taxa..1...i..1.7..24	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	NA	ASV_26
