village,asv_ID,host_p,host_ID,host_species,grid,season,reads,total_reads,asv_core,asv_degree,asv_group,host_group
Andatsakala,ASV_1,0.7948717948717948,3500,Rattus rattus,brushy_regrowth,1,0.03690365827568993,28046,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3501,Rattus rattus,brushy_regrowth,1,0.0067600666209464,30621,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3502,Rattus rattus,brushy_regrowth,1,0.4248556533437973,53517,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3503,Rattus rattus,brushy_regrowth,1,0.19798463282529283,39695.00000000001,Core,184,3,7
Andatsakala,ASV_1,0.7948717948717948,3516,Rattus rattus,brushy_regrowth,1,0.09964693272807516,31722,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3520,Rattus rattus,brushy_regrowth,1,0.00897395848124272,35213,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3527,Rattus rattus,brushy_regrowth,1,0.04204338409708137,29089,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3534,Rattus rattus,agriculture,1,0.3023237526048834,25433,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3535,Rattus rattus,agriculture,1,0.49095345422964787,48361,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3543,Rattus rattus,agriculture,1,0.00287923934514044,29869,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3548,Rattus rattus,secondary_forest,1,0.2672527472527473,22750,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3553,Rattus rattus,secondary_forest,1,0.24465956411227083,36982,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3557,Rattus rattus,secondary_forest,1,0.04828428944152713,30279,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3558,Rattus rattus,secondary_forest,1,0.03002760671055425,23545,Core,184,3,5
Andatsakala,ASV_1,0.7948717948717948,3559,Rattus rattus,secondary_forest,1,0.13511642716726197,36117,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3563,Rattus rattus,secondary_forest,1,0.01991521681533162,22646,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3564,Rattus rattus,secondary_forest,1,0.2270446698316789,37072,Core,184,3,10
Andatsakala,ASV_1,0.7948717948717948,3568,Rattus rattus,secondary_forest,1,0.05263995754842133,18845,Core,184,3,5
Andatsakala,ASV_1,0.7948717948717948,3569,Rattus rattus,secondary_forest,1,0.03883611399377345,25054,Core,184,3,5
Andatsakala,ASV_1,0.7948717948717948,3574,Rattus rattus,semi-intact_forest,1,0.01183339577869364,32028,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3577,Rattus rattus,semi-intact_forest,1,0.01858521186252278,22491,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3578,Rattus rattus,semi-intact_forest,1,0.03613383476136937,25793,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3581,Rattus rattus,semi-intact_forest,1,0.10546943550745833,17095,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3591,Rattus rattus,agroforest,1,0.1239336835510145,41498,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3592,Rattus rattus,agroforest,1,0.10463528992818565,33698,Core,184,3,5
Andatsakala,ASV_1,0.7948717948717948,3598,Rattus rattus,agroforest,1,0.04197964945927228,18771,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3599,Rattus rattus,agroforest,1,0.00458614616965071,27256,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3600,Rattus rattus,agroforest,1,0.13570872880037343,32135,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3608,Rattus rattus,agroforest,1,0.00112300666317286,26714,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3611,Rattus rattus,agroforest,1,0.7756972712196593,33165,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3613,Rattus rattus,agroforest,1,0.06710044733631558,29508,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3620,Rattus rattus,agroforest,1,0.00484639049264612,23729,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3621,Rattus rattus,agroforest,1,0.4008272412466333,31188,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3622,Rattus rattus,agroforest,1,0.00722774341510876,28778,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3623,Rattus rattus,agroforest,1,0.02009054257978783,44399,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3630,Rattus rattus,village,1,0.07993440194678092,18903,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3634,Rattus rattus,village,1,0.025,26720,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3635,Rattus rattus,village,1,0.00665458635341164,32008,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3636,Rattus rattus,village,1,0.02766521197007481,25664,Core,184,3,5
Andatsakala,ASV_1,0.7948717948717948,3637,Rattus rattus,village,1,0.0111010009099181,32970,Core,184,3,6
Andatsakala,ASV_1,0.7948717948717948,3638,Rattus rattus,village,1,0.00144934312029547,21389,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3639,Rattus rattus,village,1,0.22634836427939875,49764,Core,184,3,6
Andatsakala,ASV_1,0.7948717948717948,3641,Rattus rattus,village,1,0.00757821102403005,30878,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3642,Rattus rattus,village,1,0.04624862857625116,23698,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3643,Rattus rattus,village,1,0.05257746092678914,14588,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3644,Rattus rattus,village,1,0.02997711670480549,26220,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3646,Rattus rattus,village,1,0.2146527977634338,24323,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3649,Rattus rattus,village,1,0.04960120715671481,46390,Core,184,3,6
Andatsakala,ASV_1,0.7948717948717948,3653,Rattus rattus,village,1,0.00326751458084463,28462,Core,184,3,7
Andatsakala,ASV_1,0.7948717948717948,3654,Rattus rattus,village,1,0.14559167110710333,24397,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3655,Rattus rattus,village,1,0.8137827918988718,29428,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3656,Rattus rattus,flooded_rice,1,0.00336968508761181,32644,Core,184,3,7
Andatsakala,ASV_1,0.7948717948717948,3657,Rattus rattus,flooded_rice,1,0.00320295657530027,32469.999999999996,Core,184,3,6
Andatsakala,ASV_1,0.7948717948717948,3658,Rattus rattus,village,1,0.01490791062801932,26496,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3659,Rattus rattus,village,1,0.16337391072972793,15033,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3660,Rattus rattus,village,1,0.10349953545989472,16145,Core,184,3,6
Andatsakala,ASV_1,0.7948717948717948,3661,Rattus rattus,brushy_regrowth,2,0.00968392737054472,22305,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3663,Rattus rattus,brushy_regrowth,2,0.00199710155173023,56582,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3669,Rattus rattus,brushy_regrowth,2,0.00402178732028627,31578,Core,184,3,8
Andatsakala,ASV_1,0.7948717948717948,3673,Rattus rattus,brushy_regrowth,2,0.00903877322029672,16042,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3679,Rattus rattus,brushy_regrowth,2,0.01008678011946354,17746,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3680,Rattus rattus,brushy_regrowth,2,0.03896171182840267,19301,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3699,Rattus rattus,agriculture,2,0.01367998140585051,30117,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3708,Rattus rattus,agriculture,2,0.01645528977363942,24916,Core,184,3,9
Andatsakala,ASV_1,0.7948717948717948,3714,Rattus rattus,secondary_forest,2,0.0800942285041225,10188,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3719,Rattus rattus,secondary_forest,2,0.0021502073414222,19533,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3726,Rattus rattus,secondary_forest,2,0.00424328147100424,7777,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3728,Rattus rattus,semi-intact_forest,2,0.00121907857977345,19687,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3735,Rattus rattus,semi-intact_forest,2,0.04405840886203424,11916,Core,184,3,6
Andatsakala,ASV_1,0.7948717948717948,3741,Rattus rattus,agroforest,2,0.02167294287316721,24962,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3742,Rattus rattus,agroforest,2,0.00295681617664592,41937,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3761,Rattus rattus,agroforest,2,0.01206253042678639,18487,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3767,Rattus rattus,agroforest,2,0.01006530925854782,13015,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3773,Rattus rattus,agroforest,2,0.01095740309546637,14602,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3774,Rattus rattus,agroforest,2,0.00502374862988673,10948,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3779,Rattus rattus,flooded_rice,2,0.06427041180671268,25206,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3781,Rattus rattus,flooded_rice,2,0.21814375436147945,14330,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3782,Rattus rattus,flooded_rice,2,0.05635023840485479,16149,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3789,Rattus rattus,village,2,0.03574175683298292,19501,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3790,Rattus rattus,village,2,0.4533263741116955,24907,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3791,Rattus rattus,village,2,0.01838915756164547,16749,Core,184,3,8
Andatsakala,ASV_1,0.7948717948717948,3798,Rattus rattus,village,2,0.00752269779507133,38550,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3800,Rattus rattus,village,2,0.00392247346562067,17336,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3802,Rattus rattus,village,2,0.01044141553082405,15994,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3807,Rattus rattus,flooded_rice,2,0.18855218855218855,16632,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3811,Rattus rattus,flooded_rice,2,0.05472551499431952,46651,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3817,Rattus rattus,village,2,0.5676886279626004,22995,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3820,Rattus rattus,village,2,0.4703520110434838,15937,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3822,Rattus rattus,flooded_rice,2,0.7801014780498566,22665,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3825,Rattus rattus,flooded_rice,2,0.00814068543671854,22234,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3830,Rattus rattus,brushy_regrowth,3,0.00974538466817651,14571,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3831,Rattus rattus,brushy_regrowth,3,0.02076175159002851,13679,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3833,Rattus rattus,brushy_regrowth,3,0.00272588258759391,15041,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3834,Rattus rattus,brushy_regrowth,3,0.02679226816735992,16348,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3838,Rattus rattus,brushy_regrowth,3,0.02334440320375073,20476,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3839,Rattus rattus,brushy_regrowth,3,0.4312197967005499,24004,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3844,Rattus rattus,brushy_regrowth,3,0.08603988603988603,24570,Core,184,3,4
