village,asv_ID,host_p,host_ID,host_species,grid,season,reads,total_reads,asv_core,asv_degree,asv_group,host_group
Mandena,ASV_1,0.6744186046511628,2010,Rattus rattus,brushy_regrowth,1,0.04852686308492201,18464,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2011,Rattus rattus,brushy_regrowth,1,0.06089858181384817,25173,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2014,Rattus rattus,brushy_regrowth,1,0.0229467444306339,10459,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2015,Rattus rattus,brushy_regrowth,1,0.2156731038343129,35730,Core,227,3,11
Mandena,ASV_1,0.6744186046511628,2016,Rattus rattus,brushy_regrowth,1,0.00396735434141918,26466,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2018,Rattus rattus,brushy_regrowth,1,0.11468209098025572,22994,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2019,Rattus rattus,brushy_regrowth,1,0.08775118650913863,19806,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2020,Rattus rattus,brushy_regrowth,1,0.08095121353272862,20395,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2029,Rattus rattus,brushy_regrowth,1,0.02822655524605385,16155,Core,227,3,6
Mandena,ASV_1,0.6744186046511628,2031,Rattus rattus,brushy_regrowth,1,0.01377021982579842,24110,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2037,Rattus rattus,brushy_regrowth,1,0.09407389825144394,12639,Core,227,3,6
Mandena,ASV_1,0.6744186046511628,2038,Rattus rattus,brushy_regrowth,1,0.0115987046460908,30262,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2053,Rattus rattus,agriculture,1,0.3071064216337083,14311,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2054,Rattus rattus,agriculture,1,0.02997094229970942,24090,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2055,Rattus rattus,agriculture,1,0.00837773144930893,25902,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2059,Rattus rattus,agriculture,1,0.14902331442974165,28566,Core,227,3,15
Mandena,ASV_1,0.6744186046511628,2063,Rattus rattus,agriculture,1,0.44869904390429527,21023,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2064,Rattus rattus,agriculture,1,0.02189124991975348,15577,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2065,Rattus rattus,agriculture,1,0.01236628480388438,26362,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2066,Rattus rattus,agriculture,1,0.00318395666017202,21043,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2067,Rattus rattus,agriculture,1,0.00528689916088664,20617,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2077,Rattus rattus,agriculture,1,0.37631663879353344,34083,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2087,Rattus rattus,agriculture,1,0.02673549903466801,23826,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2091,Rattus rattus,agriculture,1,0.3506718682271348,23070,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2092,Rattus rattus,agriculture,1,0.01513880414887126,26224,Core,227,3,11
Mandena,ASV_1,0.6744186046511628,2093,Rattus rattus,agriculture,1,0.00533276450511945,9376,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2096,Rattus rattus,agriculture,1,0.03864791395816097,16922,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2102,Rattus rattus,agriculture,1,0.00243951209758048,25005,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2103,Rattus rattus,village,1,0.17832970751752478,16548,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2112,Rattus rattus,secondary_forest,1,0.00273183144974178,26722,Core,227,3,5
Mandena,ASV_1,0.6744186046511628,2122,Rattus rattus,secondary_forest,1,0.00234613934391889,23869,Core,227,3,5
Mandena,ASV_1,0.6744186046511628,2127,Rattus rattus,secondary_forest,1,0.00855185653824337,22919,Core,227,3,5
Mandena,ASV_1,0.6744186046511628,2128,Rattus rattus,secondary_forest,1,0.00135052179251074,24435.000000000004,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2140,Rattus rattus,semi-intact_forest,1,0.6514781237682302,25370,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2152,Rattus rattus,flooded_rice,1,0.00978986402966625,20225,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2153,Rattus rattus,flooded_rice,1,0.00532406388876666,22727,Core,227,3,8
Mandena,ASV_1,0.6744186046511628,2154,Rattus rattus,flooded_rice,1,0.00130392668206542,26842,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2160,Rattus rattus,flooded_rice,1,0.01173904676374366,15589,Core,227,3,5
Mandena,ASV_1,0.6744186046511628,2169,Rattus rattus,flooded_rice,1,0.09653475497231905,24385,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2175,Rattus rattus,flooded_rice,1,0.05292931064725487,22804,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2176,Rattus rattus,flooded_rice,1,0.01128311594529945,22157,Core,227,3,5
Mandena,ASV_1,0.6744186046511628,2177,Rattus rattus,flooded_rice,1,0.05376391784589451,22543,Core,227,3,9
Mandena,ASV_1,0.6744186046511628,2178,Rattus rattus,flooded_rice,1,0.01801757572782169,20369,Core,227,3,5
Mandena,ASV_1,0.6744186046511628,2186,Rattus rattus,flooded_rice,1,0.00244823013363256,19606,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2187,Rattus rattus,flooded_rice,1,0.00284191829484902,16890,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2217,Rattus rattus,agroforest,1,0.002064234108433,16471,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2218,Rattus rattus,agroforest,1,0.1300426449683839,20401,Core,227,3,10
Mandena,ASV_1,0.6744186046511628,2220,Rattus rattus,village,1,0.0076595744680851,22325,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2221,Rattus rattus,village,1,0.00204466182897005,24943,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2222,Rattus rattus,village,1,0.0262642101136809,7653,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2227,Rattus rattus,village,1,0.02973675658108547,24616,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2228,Rattus rattus,agroforest,1,0.01032956222331529,20330,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2241,Rattus rattus,agroforest,1,0.0303622064095019,37382,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2243,Rattus rattus,agroforest,1,0.00838177639583614,7397,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2248,Rattus rattus,agroforest,1,0.22276169265033408,22450,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2249,Rattus rattus,agroforest,1,0.01836158192090395,15576,Core,227,3,6
Mandena,ASV_1,0.6744186046511628,2261,Rattus rattus,brushy_regrowth,2,0.00432581231873371,20343,Core,227,3,9
Mandena,ASV_1,0.6744186046511628,2262,Rattus rattus,brushy_regrowth,2,0.02013514904126505,29153,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2263,Rattus rattus,brushy_regrowth,2,0.00290635091496232,9290,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2270,Rattus rattus,brushy_regrowth,2,0.00212205473437728,13666,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2277,Rattus rattus,brushy_regrowth,2,0.00417895771878072,12204,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2278,Rattus rattus,brushy_regrowth,2,0.184770122993304,35693,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2287,Rattus rattus,brushy_regrowth,2,0.02333204782105669,15558,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2302,Rattus rattus,agriculture,2,0.5996408594604635,48449,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2303,Rattus rattus,agriculture,2,0.42312520924004016,23896,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2304,Rattus rattus,agriculture,2,0.00517348029016476,17783,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2314,Rattus rattus,agriculture,2,0.00597655900509975,55885,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2315,Rattus rattus,agriculture,2,0.00631328171530673,25185,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2324,Rattus rattus,agriculture,2,0.03912277266496965,25535,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2328,Rattus rattus,agriculture,2,0.02923941096098375,32935,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2329,Rattus rattus,agriculture,2,0.00373571637855259,27304,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2337,Rattus rattus,agriculture,2,0.8557151780137414,57636,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2341,Rattus rattus,agriculture,2,0.03224100444635967,51053,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2343,Rattus rattus,agriculture,2,0.6043113087344306,38457,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2354,Rattus rattus,secondary_forest,2,0.03217069626106487,15138,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2368,Rattus rattus,secondary_forest,2,0.02026061026918835,24481,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2377,Rattus rattus,semi-intact_forest,2,0.12011367224502682,15835,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2381,Rattus rattus,semi-intact_forest,2,0.25630252100840334,22372,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2397,Rattus rattus,flooded_rice,2,0.04578684109272797,18193,Core,227,3,2
Mandena,ASV_1,0.6744186046511628,2400,Rattus rattus,flooded_rice,2,0.0122804406073236,26872,Core,227,3,8
Mandena,ASV_1,0.6744186046511628,2410,Rattus rattus,flooded_rice,2,0.03990996141203373,27988,Core,227,3,6
Mandena,ASV_1,0.6744186046511628,2417,Rattus rattus,flooded_rice,2,0.2324009892368247,28709,Core,227,3,4
Mandena,ASV_1,0.6744186046511628,2418,Rattus rattus,flooded_rice,2,0.00338732284690858,25684,Core,227,3,7
Mandena,ASV_1,0.6744186046511628,2419,Rattus rattus,flooded_rice,2,0.255098351171536,27656,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2427,Rattus rattus,flooded_rice,2,0.00502994011976047,25050,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2428,Rattus rattus,flooded_rice,2,0.11813961955037772,21974,Core,227,3,1
Mandena,ASV_1,0.6744186046511628,2429,Rattus rattus,flooded_rice,2,0.00286980163125566,19862,Core,227,3,5
Mandena,ASV_1,0.6744186046511628,2434,Rattus rattus,flooded_rice,2,0.00649666481378543,28784,Core,227,3,8
Mandena,ASV_1,0.6744186046511628,2435,Rattus rattus,flooded_rice,2,0.3020874515695422,25294,Core,227,3,3
Mandena,ASV_1,0.6744186046511628,2436,Rattus rattus,flooded_rice,2,0.00116545265348595,48050,Core,227,3,1
